condition_id,task_name,evaluator_label,runtime_mode,post_profile,distillation_depth,retry_limit,uses_prefetch,description
protocol_direct,protocol_inference,direct_transfer,direct,baseline,0,1,False,Direct coherent transfer.
protocol_on_demand,protocol_inference,on_demand_epr,custom_epr,baseline,0,4,False,Fresh raw pair for every request.
protocol_prefetch,protocol_inference,prefetched_epr,prefetch,prefetched,0,4,True,Warm finite EPR pool.
protocol_telegate,protocol_inference,telegate,prefetch,telegate,0,4,True,Gate-teleportation-like service.
protocol_teledata,protocol_inference,teledata,prefetch,teledata,0,4,True,State-transfer-like service.
distill_0,distillation_depth_inference,distill_0,custom_epr,baseline,0,6,False,"One raw pair, no distillation."
distill_1,distillation_depth_inference,distill_1,custom_epr,baseline,1,6,False,"Two raw pairs, one round."
distill_2,distillation_depth_inference,distill_2,custom_epr,baseline,2,6,False,"Four raw pairs, two rounds."
retry_1,retry_policy_inference,retry_1,custom_epr,baseline,0,1,False,One attempt per raw pair.
retry_2,retry_policy_inference,retry_2,custom_epr,baseline,0,2,False,Two attempts per raw pair.
retry_4,retry_policy_inference,retry_4,custom_epr,baseline,0,4,False,Four attempts per raw pair.
service_low_latency,service_class_inference,low_latency,prefetch,low_latency,0,1,True,Latency-oriented service.
service_high_fidelity,service_class_inference,high_fidelity,custom_epr,high_fidelity,2,6,False,Fidelity/reliability-oriented service.
protocol_control_direct_transfer,protocol_label_only_control,direct_transfer,prefetch,telegate,0,4,True,Label-only protocol control.
protocol_control_on_demand_epr,protocol_label_only_control,on_demand_epr,prefetch,telegate,0,4,True,Label-only protocol control.
protocol_control_prefetched_epr,protocol_label_only_control,prefetched_epr,prefetch,telegate,0,4,True,Label-only protocol control.
protocol_control_telegate,protocol_label_only_control,telegate,prefetch,telegate,0,4,True,Label-only protocol control.
protocol_control_teledata,protocol_label_only_control,teledata,prefetch,telegate,0,4,True,Label-only protocol control.
service_control_low_latency,service_label_only_control,low_latency,prefetch,telegate,0,4,True,Label-only service control.
service_control_high_fidelity,service_label_only_control,high_fidelity,prefetch,telegate,0,4,True,Label-only service control.
