scenario_name,same_module,shared_components,shared_local_route,shared_communication_qubit,shared_interconnect_port,shared_reset_engine,expected_mechanism,scenario_description,workload_name,workload_description,release_pattern
separate_modules_control,False,none,False,False,False,False,no_cross_tenant_endpoint_contention,Victim and attacker occupy different modules and use fully independent endpoint pipelines.,periodic_sparse,One remote operation every 900 ns.,period=900
separate_modules_control,False,none,False,False,False,False,no_cross_tenant_endpoint_contention,Victim and attacker occupy different modules and use fully independent endpoint pipelines.,periodic_dense,One remote operation every 460 ns.,period=460
separate_modules_control,False,none,False,False,False,False,no_cross_tenant_endpoint_contention,Victim and attacker occupy different modules and use fully independent endpoint pipelines.,layered_bursty,Four-operation communication layers separated by long local compute intervals.,"burst_period=2400; offsets=0,120,240,360"
shared_module_fully_independent,True,none,False,False,False,False,module_colocation_without_pipeline_sharing,"Victim and attacker share a physical module but use duplicated local routes, communication qubits, ports, and reset engines.",periodic_sparse,One remote operation every 900 ns.,period=900
shared_module_fully_independent,True,none,False,False,False,False,module_colocation_without_pipeline_sharing,"Victim and attacker share a physical module but use duplicated local routes, communication qubits, ports, and reset engines.",periodic_dense,One remote operation every 460 ns.,period=460
shared_module_fully_independent,True,none,False,False,False,False,module_colocation_without_pipeline_sharing,"Victim and attacker share a physical module but use duplicated local routes, communication qubits, ports, and reset engines.",layered_bursty,Four-operation communication layers separated by long local compute intervals.,"burst_period=2400; offsets=0,120,240,360"
shared_local_route_only,True,local_route,True,False,False,False,local_route_wait,"Compute qubits and the remaining endpoint pipeline are separate, but both tenants use one local route/coupler.",periodic_sparse,One remote operation every 900 ns.,period=900
shared_local_route_only,True,local_route,True,False,False,False,local_route_wait,"Compute qubits and the remaining endpoint pipeline are separate, but both tenants use one local route/coupler.",periodic_dense,One remote operation every 460 ns.,period=460
shared_local_route_only,True,local_route,True,False,False,False,local_route_wait,"Compute qubits and the remaining endpoint pipeline are separate, but both tenants use one local route/coupler.",layered_bursty,Four-operation communication layers separated by long local compute intervals.,"burst_period=2400; offsets=0,120,240,360"
shared_communication_qubit_only,True,communication_qubit,False,True,False,False,communication_qubit_reuse_wait,"Tenants have separate compute routing, ports, and reset engines but use one communication qubit/interface.",periodic_sparse,One remote operation every 900 ns.,period=900
shared_communication_qubit_only,True,communication_qubit,False,True,False,False,communication_qubit_reuse_wait,"Tenants have separate compute routing, ports, and reset engines but use one communication qubit/interface.",periodic_dense,One remote operation every 460 ns.,period=460
shared_communication_qubit_only,True,communication_qubit,False,True,False,False,communication_qubit_reuse_wait,"Tenants have separate compute routing, ports, and reset engines but use one communication qubit/interface.",layered_bursty,Four-operation communication layers separated by long local compute intervals.,"burst_period=2400; offsets=0,120,240,360"
shared_interconnect_port_only,True,interconnect_port,False,False,True,False,interconnect_port_wait,Tenants have separate local routes and communication qubits but use one interconnect-facing port.,periodic_sparse,One remote operation every 900 ns.,period=900
shared_interconnect_port_only,True,interconnect_port,False,False,True,False,interconnect_port_wait,Tenants have separate local routes and communication qubits but use one interconnect-facing port.,periodic_dense,One remote operation every 460 ns.,period=460
shared_interconnect_port_only,True,interconnect_port,False,False,True,False,interconnect_port_wait,Tenants have separate local routes and communication qubits but use one interconnect-facing port.,layered_bursty,Four-operation communication layers separated by long local compute intervals.,"burst_period=2400; offsets=0,120,240,360"
shared_reset_engine_only,True,reset_engine,False,False,False,True,late_reset_recovery_wait,"The active endpoint paths are duplicated, but both communication qubits use one reset/recovery engine.",periodic_sparse,One remote operation every 900 ns.,period=900
shared_reset_engine_only,True,reset_engine,False,False,False,True,late_reset_recovery_wait,"The active endpoint paths are duplicated, but both communication qubits use one reset/recovery engine.",periodic_dense,One remote operation every 460 ns.,period=460
shared_reset_engine_only,True,reset_engine,False,False,False,True,late_reset_recovery_wait,"The active endpoint paths are duplicated, but both communication qubits use one reset/recovery engine.",layered_bursty,Four-operation communication layers separated by long local compute intervals.,"burst_period=2400; offsets=0,120,240,360"
shared_endpoint_without_reset,True,local_route;communication_qubit;interconnect_port,True,True,True,False,active_endpoint_contention,"The active endpoint path is shared, but each tenant has a dedicated reset/recovery engine.",periodic_sparse,One remote operation every 900 ns.,period=900
shared_endpoint_without_reset,True,local_route;communication_qubit;interconnect_port,True,True,True,False,active_endpoint_contention,"The active endpoint path is shared, but each tenant has a dedicated reset/recovery engine.",periodic_dense,One remote operation every 460 ns.,period=460
shared_endpoint_without_reset,True,local_route;communication_qubit;interconnect_port,True,True,True,False,active_endpoint_contention,"The active endpoint path is shared, but each tenant has a dedicated reset/recovery engine.",layered_bursty,Four-operation communication layers separated by long local compute intervals.,"burst_period=2400; offsets=0,120,240,360"
shared_full_endpoint_pipeline,True,local_route;communication_qubit;interconnect_port;reset_engine,True,True,True,True,full_endpoint_pipeline_contention,"Local route, communication qubit, interconnect port, and reset engine are all shared.",periodic_sparse,One remote operation every 900 ns.,period=900
shared_full_endpoint_pipeline,True,local_route;communication_qubit;interconnect_port;reset_engine,True,True,True,True,full_endpoint_pipeline_contention,"Local route, communication qubit, interconnect port, and reset engine are all shared.",periodic_dense,One remote operation every 460 ns.,period=460
shared_full_endpoint_pipeline,True,local_route;communication_qubit;interconnect_port;reset_engine,True,True,True,True,full_endpoint_pipeline_contention,"Local route, communication qubit, interconnect port, and reset engine are all shared.",layered_bursty,Four-operation communication layers separated by long local compute intervals.,"burst_period=2400; offsets=0,120,240,360"
